pt_part,pt_um,pt_prod_line,pt_part_type
28-22-1700-08,PC,EVS,RM
28-22-1700-09,PC,EVS,RM
28-22-1700-10,PC,EVS,RM
28-22-1700-11,PC,EVS,RM
28-22-1700-12,PC,EVS,RM
28-22-1700-13,PC,EVS,RM
28-22-1719-01,PC,EVS,RM
28-22-1719-02,PC,EVS,RM
28-22-1719-03,PC,EVS,RM
28-22-1719-04,PC,EVS,RM
28-22-1719-05,PC,EVS,RM
28-22-1719-07,PC,EVS,RM
28-22-1719-08,PC,EVS,RM
28-22-1719-09,PC,EVS,RM
28-22-1719-10,PC,EVS,RM
28-22-1719-11,PC,EVS,RM
28-22-1719-12,PC,EVS,RM
28-22-1719-13,PC,EVS,RM
28-22-1719-14,PC,EVS,RM
28-22-1719-15,PC,EVS,RM
28-22-1719-16,PC,EVS,RM
28-22-1719-17,PC,EVS,RM
28-22-1719-18,PC,EVS,RM
28-22-1719-19,PC,EVS,RM
28-22-1719-20,PC,EVS,RM
28-22-1719-21,PC,EVS,RM
28-22-1719-22,PC,EVS,RM
28-22-1719-23,PC,EVS,RM
28-22-1719-24,PC,EVS,RM
28-22-1719-25,PC,EVS,RM
28-22-1719-26,PC,EVS,RM
28-22-1719-27,PC,EVS,RM
28-22-1719-28,PC,EVS,RM
28-22-1719-29,PC,EVS,RM
28-22-1719-30,PC,EVS,RM
28-22-1719-31,PC,EVS,RM
28-22-1719-32,PC,EVS,RM
28-22-1719-33,PC,EVS,RM
28-22-1719-34,PC,EVS,RM
28-22-1719-35,PC,EVS,RM
28-22-1719-36,PC,EVS,RM
28-22-1719-37,PC,EVS,RM
28-22-1719-38,PC,EVS,RM
28-22-1719-39,PC,EVS,RM
28-22-1719-40,PC,EVS,RM
28-22-1719-41,PC,EVS,RM
28-22-1719-42,PC,EVS,RM
28-22-1719-43,PC,EVS,RM
28-33-0650-01,EA,EVS,HFG
28-33-0650-02,EA,EVS,HFG
28-33-0650-03,EA,EVS,HFG
28-33-0651-01,EA,EVS,HFG
28-33-0651-02,EA,EVS,HFG
28-33-0651-03,EA,EVS,HFG
28-33-0651-04,EA,EVS,HFG
28-33-0651-05,EA,EVS,HFG
28-33-0651-06,EA,EVS,HFG
28-33-0651-07,EA,EVS,HFG
28-33-0651-08,EA,EVS,HFG
28-33-0651-09,EA,EVS,HFG
28-33-0651-10,EA,EVS,HFG
28-33-0651-11,EA,EVS,HFG
28-33-0651-12,EA,EVS,HFG
28-33-0651-13,EA,EVS,HFG
28-33-0651-14,EA,EVS,HFG
28-33-0651-15,EA,EVS,HFG
28-33-0651-16,EA,EVS,HFG
28-33-0651-17,EA,EVS,HFG
28-33-0651-18,EA,EVS,HFG
28-33-0651-19,EA,EVS,HFG
28-33-0651-20,EA,EVS,HFG
28-33-0651-21,EA,EVS,HFG
28-33-0651-22,EA,EVS,HFG
28-33-0651-23,EA,EVS,HFG
28-33-0651-24,EA,EVS,HFG
28-33-0651-25,EA,EVS,HFG
28-33-0651-26,EA,EVS,HFG
28-33-0651-27,EA,EVS,HFG
28-33-0651-28,EA,EVS,HFG
28-33-0651-29,EA,EVS,HFG
28-33-0651-30,EA,EVS,HFG
28-33-0651-31,EA,EVS,HFG
28-33-0651-32,EA,EVS,HFG
28-33-0651-33,EA,EVS,HFG
28-33-0651-34,EA,EVS,HFG
28-33-0651-35,EA,EVS,HFG
28-33-0652-01,EA,EVS,HFG
28-33-0652-02,EA,EVS,HFG
28-33-0652-03,EA,EVS,HFG
28-33-0652-04,EA,EVS,HFG
28-33-0652-05,EA,EVS,HFG
28-33-0652-06,EA,EVS,HFG
28-33-0652-07,EA,EVS,HFG
28-33-0652-08,EA,EVS,HFG
28-33-0652-09,EA,EVS,HFG
28-33-0652-10,EA,EVS,HFG
28-33-0652-11,EA,EVS,HFG
28-33-0652-12,EA,EVS,HFG
28-33-0652-13,EA,EVS,HFG
28-33-0652-14,EA,EVS,HFG
28-33-0652-15,EA,EVS,HFG
28-33-0652-16,EA,EVS,HFG
28-33-0652-17,EA,EVS,HFG
28-33-0652-18,EA,EVS,HFG
28-33-0652-19,EA,EVS,HFG
28-33-0652-20,EA,EVS,HFG
28-33-0652-21,EA,EVS,HFG
28-33-0652-22,EA,EVS,HFG
28-33-0652-23,EA,EVS,HFG
28-33-0652-24,EA,EVS,HFG
28-33-0653-01,EA,EVS,HFG
28-33-0653-02,EA,EVS,HFG
28-33-0653-03,EA,EVS,HFG
28-33-0653-04,EA,EVS,HFG
28-33-0653-05,EA,EVS,HFG
28-33-0653-06,EA,EVS,HFG
28-33-0653-07,EA,EVS,HFG
28-33-0653-08,EA,EVS,HFG
28-33-0653-09,EA,EVS,HFG
28-33-0653-10,EA,EVS,HFG
28-33-0653-11,EA,EVS,HFG
28-33-0653-12,EA,EVS,HFG
28-33-0653-13,EA,EVS,HFG
28-33-0653-14,EA,EVS,HFG
28-33-0653-15,EA,EVS,HFG
28-33-0653-16,EA,EVS,HFG
28-33-0653-17,EA,EVS,HFG
28-33-0653-18,EA,EVS,HFG
28-33-0653-19,EA,EVS,HFG
28-33-0653-20,EA,EVS,HFG
28-33-0653-21,EA,EVS,HFG
28-33-0653-22,EA,EVS,HFG
28-33-0653-23,EA,EVS,HFG
28-33-0653-24,EA,EVS,HFG
28-33-0822-01,EA,EVS,HFG
28-33-0822-02,EA,EVS,HFG
28-33-0822-03,EA,EVS,HFG
28-33-0822-04,EA,EVS,HFG
28-33-0822-05,EA,EVS,HFG
28-33-0822-06,EA,EVS,HFG
28-33-0822-07,EA,EVS,HFG
28-33-0822-08,EA,EVS,HFG
28-33-0822-09,EA,EVS,HFG
28-33-0822-10,EA,EVS,HFG
28-33-0822-11,EA,EVS,HFG
28-33-0822-12,EA,EVS,HFG
28-33-0822-13,EA,EVS,HFG
28-33-0822-14,EA,EVS,HFG
28-33-0822-15,EA,EVS,HFG
28-33-0822-16,EA,EVS,HFG
28-33-0822-17,EA,EVS,HFG
28-33-0822-18,EA,EVS,HFG
28-33-0822-19,EA,EVS,HFG
28-33-0822-20,EA,EVS,HFG
28-33-0822-21,EA,EVS,HFG
28-33-0822-22,EA,EVS,HFG
28-33-0822-23,EA,EVS,HFG
28-33-0822-24,EA,EVS,HFG
28-33-0822-25,EA,EVS,HFG
28-33-0822-26,EA,EVS,HFG
28-33-0822-27,EA,EVS,HFG
28-33-0822-28,EA,EVS,HFG
28-33-0822-29,EA,EVS,HFG
28-33-0822-30,EA,EVS,HFG
28-33-0822-31,EA,EVS,HFG
28-33-0822-32,EA,EVS,HFG
28-33-0822-33,EA,EVS,HFG
28-33-0822-34,EA,EVS,HFG
28-33-0822-35,EA,EVS,HFG
28-33-0822-36,EA,EVS,HFG
28-33-0822-37,EA,EVS,HFG
28-33-0822-38,EA,EVS,HFG
28-33-0822-39,EA,EVS,HFG
28-33-0822-40,EA,EVS,HFG
28-33-0822-41,EA,EVS,HFG
28-33-0822-42,EA,EVS,HFG
28-33-0822-43,EA,EVS,HFG
28-33-0822-44,EA,EVS,HFG
28-33-0822-45,EA,EVS,HFG
28-33-0822-46,EA,EVS,HFG
28-33-0822-47,EA,EVS,HFG
28-33-0822-48,EA,EVS,HFG
28-33-0822-49,EA,EVS,HFG
28-33-0822-50,EA,EVS,HFG
28-33-0822-51,EA,EVS,HFG
28-33-0822-52,EA,EVS,HFG
28-33-0822-53,EA,EVS,HFG
28-33-0822-54,EA,EVS,HFG
28-33-0822-55,EA,EVS,HFG
28-33-0822-56,EA,EVS,HFG
28-33-0822-57,EA,EVS,HFG
28-33-0822-58,EA,EVS,HFG
28-33-0822-59,EA,EVS,HFG
28-33-0822-60,EA,EVS,HFG
28-33-0822-61,EA,EVS,HFG
28-33-0822-62,EA,EVS,HFG
28-33-0822-63,EA,EVS,HFG
28-33-0822-64,EA,EVS,HFG
28-33-0822-65,EA,EVS,HFG
28-33-0822-66,EA,EVS,HFG
28-33-0822-67,EA,EVS,HFG
28-33-0822-68,EA,EVS,HFG
28-33-0822-69,EA,EVS,HFG
28-33-0822-70,EA,EVS,HFG
28-33-0822-71,EA,EVS,HFG
28-33-0822-72,EA,EVS,HFG
28-33-0822-73,EA,EVS,HFG
28-33-0822-74,EA,EVS,HFG
28-33-0822-75,EA,EVS,HFG
28-33-0822-76,EA,EVS,HFG
28-33-0822-77,EA,EVS,HFG
28-33-0822-78,EA,EVS,HFG
28-33-0822-79,EA,EVS,HFG
